[    9885ms] [LOG] load js fail! @ https://jstatic.3.cn/common/cart/h5_deal_addcart.v1.5.js:1
[   10890ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥855.79, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10890ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.5折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10890ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: zhbx, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥88.1, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.5折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: zhbx, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥114.3, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.5折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10891ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10892ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥112.84, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10892ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1享9折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10892ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8.5折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: mfsz, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1000减276, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满1500减338, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10893ms] [INFO] itemitem {imgUrl: https://img20.360buyimg.com/img/jfs/t1/417243/2/1853/1246/69d712d4Fba1e2bb9/027605c01cbf713d.png, source: productCoreDTO, label: jxzy, text: 京喜自营, attr: gxlysplx} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/415047/7/6781/1527/69d7151aF29f6c5c2/027606c020107e1b.png, code: bybt, labelType: 0, source: ware, text: 百亿补贴} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥63.3, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 券满49减10, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {borderColor: #FFB7BD, backgroundColor: #fff, code: sglj, color: #FF0F23, labelType: 1} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 每300减50, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10894ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥243.48, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 立享8折, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/415047/7/6781/1527/69d7151aF29f6c5c2/027606c020107e1b.png, code: bybt, labelType: 0, source: ware, text: 百亿补贴} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {code: promotionList, limit: 3, source: customPromotion, text: 每300减50, type: 24} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {borderColor: #E9D2BA, backgroundColor: #fff, code: zhbx, color: #B5691A, labelType: 2} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10895ms] [INFO] itemitem {code: freeFreight, source: ware, text: 包邮, attr: freeFreight, type: 22} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {imgUrl: https://img30.360buyimg.com/img/jfs/t1/416484/4/3342/1442/69d7100dF3a2d9be1/02760660206944f2.png, code: mrd, labelType: 0, source: ware, text: 明日达} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {imgUrl: https://img13.360buyimg.com/img/jfs/t1/414120/1/16662/1925/69d71403F1952bb31/027606c020568576.png, code: jdwl, labelType: 0, source: ware, text: 京东物流} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {code: seckill, source: ware, text: 京东秒杀, attr: seckill, type: 20} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
[   10896ms] [INFO] itemitem {imgUrl: https://img10.360buyimg.com/img/jfs/t1/413734/32/17767/2162/69d64f64F50f7e4e0/027606c0208c0461.png, amount: ￥404.85, code: zfbt, tipsX: 政府补贴 已减{amount}, labelType: 0} @ https://storage.360buyimg.com/retail-mall/main_search/pro/0.0.11/js/index.a3428b8a.js:12
